feature,mean_abs_shap
id_38,0.01171858112508842
V94,0.01132795309583211
V2,0.011309842461144177
D14,0.01105237844487484
day_of_week,0.01058765429903991
V283,0.010453116365105
id_14,0.010450519741325215
id_01,0.010381427560428615
V56,0.010006233953530837
C10,0.00989475000159858
V61,0.009860998781608787
V55,0.009768241661261765
V130,0.00948410704835572
P_is_free_email,0.0094656091996513
V315,0.009370422901806832
C12,0.009363814152293258
C3,0.008990029609130559
V280,0.008922277198937276
V149,0.008739808620236409
M2,0.00860483074398348
V314,0.008591318033037582
id_19,0.008498651289834864
V102,0.0084645093118694
V313,0.008422291714528117
V320,0.008352778622328447
id_05,0.008273189179321197
uid_amt_z_score,0.008227083376462684
id_13,0.008129195384945772
V76,0.00784441049069771
V53,0.0076412693421799485
V307,0.007541336952077036
V49,0.007409289574720955
card4,0.007382325195792912
V13,0.007368747941791273
V87,0.007341164189281288
V36,0.007268668788240181
V187,0.007190438136119836
V124,0.007173848741466061
V133,0.00696323677187743
V282,0.0068575142774424105
V35,0.006846813406248178
V189,0.006743568707861636
V83,0.006716799781283653
M8,0.0066877779557745765
V69,0.006630244132497553
V20,0.006571500206473307
V136,0.006558199887866991
V127,0.006546292334885298
V156,0.006389818107047901
V99,0.0063496654441893546
V24,0.006346264586074361
V19,0.006035826671214979
V291,0.005805805298346632
C4,0.005587468054769815
V52,0.0054949526786543445
V152,0.005454097881617893
V75,0.00539995528736032
V336,0.005255919411835424
V128,0.0052220036209806595
V12,0.00510545664798083
V140,0.005047168467680119
V96,0.004979723866582051
V266,0.004752408173111677
V160,0.004682092143799407
V332,0.0045813252453632955
V4,0.004560185964503
V316,0.004533350699773492
V7,0.0044279946630587375
V86,0.004412674241679203
V164,0.004300655221087735
id_11,0.00428538459734612
V77,0.003900993515367768
id_32,0.003806414327234665
V217,0.0038050857446580858
V311,0.003659720778194186
V331,0.0036163939860821897
V139,0.003596164391297394
V5,0.00358510767599441
id_09,0.0035501603189883484
V244,0.003541640829596752
is_mobile,0.003505576298952861
os_windows,0.003470926827107533
os_mac,0.003456849020553864
V209,0.0034408742472817806
V267,0.0034276866441261176
